name,promoter,startDateTime,sales_datetime,end_datetime,min_price,max_price,genero,subgnero,nameArtist,genre,subgenre,type,subtype,VenueName,VenueCity,VenueState,num_links,seguidores,popularidad,seguidoresLast,subscriptores,premios,VenueClass,NumGeneros
Kadec Santa Anna - 24 Tour,"Planet Events, S.A.",2024-05-25T19:00:00Z,2023-12-22T11:00:00Z,2024-05-25T19:00:00Z,22.0,22.0,Other,Other,Kadec Santa Ana,Hip-Hop/Rap,Hip-Hop/Rap,Undefined,Undefined,Sala Razzmatazz 1,Barcelona,Barcelona,0,0,0,0,0,0,SALA,0
Eva Ruiz,Live Nation España S.A.U.,2024-05-25T20:00:00Z,2024-02-02T09:00:00Z,2024-05-25T20:00:00Z,23.0,23.0,Hip-Hop/Rap,Hip-Hop/Rap,Eva Ruíz,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Artist,Sala Villanos,Madrid,Madrid,0,0,0,0,0,0,SALA,0
Jorge Celedón,"See Events Experience, S.L.",2024-05-25T18:00:00Z,2024-02-08T13:28:00Z,2024-05-25T21:00:00Z,35.0,500.0,Other,Other,Jorge Celedon,World,Latin,Undefined,Undefined,Poble Espanyol,Barcelona,Barcelona,7,1848327,60,0,948000,0,TEATRO,2
Eva Ruiz,Live Nation España S.A.U.,2024-05-29T20:00:00Z,2024-02-02T09:00:00Z,2024-05-29T20:00:00Z,23.0,23.0,Hip-Hop/Rap,Hip-Hop/Rap,Eva Ruíz,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Artist,La Cochera Cabaret,Málaga,Málaga,0,0,0,0,0,0,,0
El Pau,"Eo Música Representación y Producción, S.L.U.",2024-06-06T20:30:00Z,2023-12-19T11:00:00Z,2024-06-06T19:00:00Z,16.0,16.0,Other,Other,El Pau,Rock,Rock,Individual,Artist,Sala Galileo Galilei,Madrid,Madrid,0,0,0,0,0,0,SALA,0
Duki,"33 Producciones y Management, S.L.",2024-06-08T19:30:00Z,2023-07-07T10:00:00Z,2024-06-08T19:30:00Z,28.0,85.0,Other,Other,Duki,Hip-Hop/Rap,Hip-Hop/Rap,Individual,Musician,Estadio Santiago Bernabéu,Madrid,Madrid,5,10249152,82,0,7270000,0,ESTADIO M,5
Big Time Rush - UK & Europe Tour 2024,Live Nation España S.A.U.,2024-06-15T19:00:00Z,2024-02-14T09:00:00Z,2024-06-15T19:00:00Z,40.0,150.0,Other,Other,Big Time Rush,Rock,Pop,Undefined,Undefined,Palacio Vistalegre,Madrid,Madrid,10,2623647,64,562300,0,9,ESTADIO S,3
Vanesa Martín,"Tickex Experience, S.L.",2024-06-29T20:00:00Z,2024-01-09T12:25:00Z,2024-06-27T21:59:00Z,30.36,87.5,Undefined,Undefined,Vanesa Martín,Pop,Pop,Individual,Singer/Vocalist,Auditorio Starlite,Marbella,Málaga,8,1118620,63,0,882000,0,SALA,4
Estopa,"Acordes Mayores, A.I.E",2024-06-29T20:00:00Z,2023-12-21T11:00:00Z,2024-06-29T20:00:00Z,40.0,55.0,World,Flamenco,Estopa,Rock,Pop,Undefined,Undefined,Plaza de Toros de Granada,Granada,Granada,9,1891963,71,265000,0,0,ESTADIO S,3
Flor Bertotti,"33 Producciones y Management, S.L.",2024-06-30T19:30:00Z,2024-01-25T09:00:00Z,2024-06-30T18:30:00Z,30.0,150.0,Other,Other,Flor Bertotti,Pop,Pop,Individual,Musician,WiZink Center,Madrid,Madrid,0,0,0,0,0,0,ESTADIO S,0
